Code,Country,Total Count,Succcessful Count
GB,United Kingdom,28406,10195
US,United States,177899,58050
AU,Australia,7735,1971
NO,Norway,708,162
CA,Canada,14071,3904
IT,Italy,2878,439
DE,Germany,4171,937
IE,Ireland,811,207
MX,Mexico,1752,396
ES,Spain,2276,492
SE,Sweden,1757,509
FR,France,2939,908
NL,Netherlands,2868,617
NZ,New Zealand,1402,430
CH,Switzerland,761,187
AT,Austria,597,107
DK,Denmark,1113,360
BE,Belgium,617,152
HK,Hong Kong,618,216
LU,Luxembourg,62,19
SG,Singapore,555,178
JP,Japan,40,7
