"month","status","count"
"January","successful",2837
"February","successful",3001
"March","successful",3370
"April","successful",3224
"May","successful",3498
"June","successful",3566
"July","successful",3549
"August","successful",3203
"September","successful",2846
"October","successful",3148
"November","successful",2889
"December","successful",1828
"January","failed",3537
"February","failed",3642
"March","failed",3863
"April","failed",3806
"May","failed",4161
"June","failed",4251
"July","failed",4905
"August","failed",4204
"September","failed",3504
"October","failed",3471
"November","failed",3298
"December","failed",2627
"January","canceled",397
"February","canceled",464
"March","canceled",516
"April","canceled",443
"May","canceled",492
"June","canceled",499
"July","canceled",615
"August","canceled",552
"September","canceled",458
"October","canceled",416
"November","canceled",386
"December","canceled",306
"January","live",651
"February","live",646
"March","live",772
"April","live",868
"May","live",980
"June","live",710
"July","live",617
"August","live",1816
"September","live",1945
"October","live",680
"November","live",717
"December","live",550
"January","suspended",35
"February","suspended",21
"March","suspended",35
"April","suspended",23
"May","suspended",25
"June","suspended",25
"July","suspended",28
"August","suspended",33
"September","suspended",25
"October","suspended",20
"November","suspended",21
"December","suspended",21
